tx_createdate;tx_status;tx_address;tx_company_code;tx_costing_code;tx_costing_code2;tx_costing_code3;tx_description;tx_is_perception;tx_location;tx_location_code;tx_name;tx_store_code;tx_type;tx_user_admin;tx_modify_price
2023-10-27 01:50:30;CREATED;Av. Prolongacion Arica 2248 Lima;AZALEIA;CCD1001;CCD2001;CCD3001;-;N;;;AZALEIA PERU - FALABELLA;ST001;;dortizf@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;Av. Prolongacion Arica 2248, Chacrarios Sur;AZALEIA;CCD1001;CCD2001;CCD3002;-;N;;;OUTLET CASAPALCA ;ST002;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;"Av. Javier Prado Este 4200; C.C. Jockey Plaza Tienda 125 1er Nivel";AZALEIA;CCD1002;CCD2001;CCD3003;-;N;;;SURCO CC  JOCKEY PLAZA  ;ST003;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;Av Prolongación Arica 2200;AZALEIA;CCD1004;CCD2001;CCD3004;-;Y;;;VENTAS POR CATALOGO;ST004;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;AV. ALFREDO MENDIOLA NRO 3698;AZALEIA;CCD1002;CCD2001;CCD3007;-;N;;;MEGA OLY CC  MEGAPLAZA ;ST007;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;AV. ALFREDO MENDIOLA NRO. 3698;AZALEIA;CCD1002;CCD2001;CCD3008;-;N;;;MEGA AZA CC  MEGAPLAZA ;ST008;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;Z.I. PARQUE INDUSTRIAL CERRADO SECTOR 62 SEG.ETAPA MZ-F LOTE F15A;AZALEIA;CCD1001;CCD2001;CCD3001;-;N;;;TIENDA ALMACEN CHILCA;ST011;;rvaldivia@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;AV. LA MARINA NRO. S/NINT. T245;AZALEIA;CCD1003;CCD2001;CCD3016;-;N;;;SAN MIGUEL CC PLAZA  SAN MIGUEL ;ST016;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;AV. ANGAMOS ESTE NRO. 2681;AZALEIA;CCD1003;CCD2001;CCD3020;-;N;;;SAN BORJA CC REAL PLAZA PRIMAVERA;ST020;;gmartinez@azaleia.com.pe;N
2023-10-27 01:50:30;CREATED;JR. AYACUCHO NRO. 623;AZALEIA;CCD1003;CCD2002;CCD3022;-;N;;;TRUJILLO JR AYACUCHO;ST022;;jfacundo@azaeia.com.pe;N
