id_store_bank;tx_createdate;tx_status;tx_company_code;tx_gl_account;tx_store_bank_code;tx_store_code
1;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST002
2;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST003
3;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST004
4;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST007
5;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST008
6;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST016
7;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST020
8;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST022
9;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST023
10;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST024
11;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST025
12;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST029
13;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST032
14;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST036
15;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST038
16;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST040
17;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST043
18;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST044
19;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST046
20;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST048
21;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST050
22;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST054
23;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST056
24;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST057
25;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST059
26;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST060
27;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST061
28;2023-07-16 13:00:39;CREATED;AZALEIA;1041102;193-1019818-0-90;ST062
29;2023-07-16 13:00:39;CREATED;AZALEIA;1041103;193-1976259-0-10;ST023
30;2023-07-16 13:00:39;CREATED;AZALEIA;1041104;000-5879370;ST002
31;2023-07-16 13:00:39;CREATED;AZALEIA;1041104;000-5879370;ST003
32;2023-07-16 13:00:39;CREATED;AZALEIA;1041104;000-5879370;ST004
33;2023-07-16 13:00:39;CREATED;AZALEIA;1041104;000-5879370;ST007
