id_store_warehouse;tx_createdate;tx_status;tx_company_code;tx_store_code;tx_warehouse_code;tx_store_warehouse_code;tx_ws_default
1;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02001;W2001;N
2;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02002;W2002;N
3;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02005;W2005;N
4;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02006;W2006;N
5;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02007;W2007;N
6;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02008;W2008;N
7;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02009;W2009;N
8;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02050;W2050;N
9;2024-01-01 01:50:30;CREATED;AZALEIA;ST002;02051;W2051;N
10;2024-01-01 01:50:30;CREATED;AZALEIA;ST003;03001;W3001;N
11;2024-01-01 01:50:30;CREATED;AZALEIA;ST003;03050;W3050;N
12;2024-01-01 01:50:30;CREATED;AZALEIA;ST003;03051;W3051;N
13;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04001;W4001;N
14;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04002;W4002;N
15;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04005;W4005;N
16;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04009;W4009;N
17;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04013;W4013;N
18;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04014;W4014;N
19;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04015;W4015;N
20;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04050;W4050;N
21;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04051;W4051;N
22;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04100;W4100;N
23;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04101;W4101;N
24;2024-01-01 01:50:30;CREATED;AZALEIA;ST004;04106;W4106;N
25;2024-01-01 01:50:30;CREATED;AZALEIA;ST007;07001;W7001;N
26;2024-01-01 01:50:30;CREATED;AZALEIA;ST007;07009;W7009;N
27;2024-01-01 01:50:30;CREATED;AZALEIA;ST007;07050;W7050;N
28;2024-01-01 01:50:30;CREATED;AZALEIA;ST007;07051;W7051;N
29;2024-01-01 01:50:30;CREATED;AZALEIA;ST008;08001;W8001;N
30;2024-01-01 01:50:30;CREATED;AZALEIA;ST008;08050;W8050;N
31;2024-01-01 01:50:30;CREATED;AZALEIA;ST008;08051;W8051;N
32;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11010;W11010;N
33;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11011;W11011;N
34;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11014;W11014;N
35;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11020;W11020;N
36;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11021;W11021;N
37;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11024;W11024;N
38;2024-01-01 01:50:30;CREATED;AZALEIA;ST011;11051;W11051;N
39;2024-01-01 01:50:30;CREATED;AZALEIA;ST016;16001;W16001;N
40;2024-01-01 01:50:30;CREATED;AZALEIA;ST016;16009;W16009;N
41;2024-01-01 01:50:30;CREATED;AZALEIA;ST016;16050;W16050;N
42;2024-01-01 01:50:30;CREATED;AZALEIA;ST016;16051;W16051;N
43;2024-01-01 01:50:30;CREATED;AZALEIA;ST020;20001;W20001;N
44;2024-01-01 01:50:30;CREATED;AZALEIA;ST020;20009;W20009;N
45;2024-01-01 01:50:30;CREATED;AZALEIA;ST020;20050;W20050;N
46;2024-01-01 01:50:30;CREATED;AZALEIA;ST020;20051;W20051;N
47;2024-01-01 01:50:30;CREATED;AZALEIA;ST022;22001;W22001;N
48;2024-01-01 01:50:30;CREATED;AZALEIA;ST022;22009;W22009;N
49;2024-01-01 01:50:30;CREATED;AZALEIA;ST022;22050;W22050;N
50;2024-01-01 01:50:30;CREATED;AZALEIA;ST022;22051;W22051;N
51;2024-01-01 01:50:30;CREATED;AZALEIA;ST023;23001;W23001;N
52;2024-01-01 01:50:30;CREATED;AZALEIA;ST023;23010;W23010;N
53;2024-01-01 01:50:30;CREATED;AZALEIA;ST023;23015;W23015;N
54;2024-01-01 01:50:30;CREATED;AZALEIA;ST023;23025;W23025;N
55;2024-01-01 01:50:30;CREATED;AZALEIA;ST023;23050;W23050;N
56;2024-01-01 01:50:30;CREATED;AZALEIA;ST023;23051;W23051;N
57;2024-01-01 01:50:30;CREATED;AZALEIA;ST024;24001;W24001;N
58;2024-01-01 01:50:30;CREATED;AZALEIA;ST024;24050;W24050;N
59;2024-01-01 01:50:30;CREATED;AZALEIA;ST024;24051;W24051;N
60;2024-01-01 01:50:30;CREATED;AZALEIA;ST025;25001;W25001;N
61;2024-01-01 01:50:30;CREATED;AZALEIA;ST025;25002;W25002;N
62;2024-01-01 01:50:30;CREATED;AZALEIA;ST025;25050;W25050;N
63;2024-01-01 01:50:30;CREATED;AZALEIA;ST025;25051;W25051;N
64;2024-01-01 01:50:30;CREATED;AZALEIA;ST029;29001;W29001;N
65;2024-01-01 01:50:30;CREATED;AZALEIA;ST029;29050;W29050;N
66;2024-01-01 01:50:30;CREATED;AZALEIA;ST029;29051;W29051;N
67;2024-01-01 01:50:30;CREATED;AZALEIA;ST032;32001;W32001;N
68;2024-01-01 01:50:30;CREATED;AZALEIA;ST032;32009;W32009;N
69;2024-01-01 01:50:30;CREATED;AZALEIA;ST032;32050;W32050;N
70;2024-01-01 01:50:30;CREATED;AZALEIA;ST032;32051;W32051;N
71;2024-01-01 01:50:30;CREATED;AZALEIA;ST036;36001;W36001;N
72;2024-01-01 01:50:30;CREATED;AZALEIA;ST036;36009;W36009;N
73;2024-01-01 01:50:30;CREATED;AZALEIA;ST036;36050;W36050;N
74;2024-01-01 01:50:30;CREATED;AZALEIA;ST036;36051;W36051;N
75;2024-01-01 01:50:30;CREATED;AZALEIA;ST038;38001;W38001;N
76;2024-01-01 01:50:30;CREATED;AZALEIA;ST038;38050;W38050;N
77;2024-01-01 01:50:30;CREATED;AZALEIA;ST038;38051;W38051;N
78;2024-01-01 01:50:30;CREATED;AZALEIA;ST040;40001;W40001;N
79;2024-01-01 01:50:30;CREATED;AZALEIA;ST040;40050;W40050;N
80;2024-01-01 01:50:30;CREATED;AZALEIA;ST040;40051;W40051;N
81;2024-01-01 01:50:30;CREATED;AZALEIA;ST043;43001;W43001;N
82;2024-01-01 01:50:30;CREATED;AZALEIA;ST043;43050;W43050;N
83;2024-01-01 01:50:30;CREATED;AZALEIA;ST043;43051;W43051;N
84;2024-01-01 01:50:30;CREATED;AZALEIA;ST044;44001;W44001;N
85;2024-01-01 01:50:30;CREATED;AZALEIA;ST044;44050;W44050;N
86;2024-01-01 01:50:30;CREATED;AZALEIA;ST044;44051;W44051;N
87;2024-01-01 01:50:30;CREATED;AZALEIA;ST046;46001;W46001;N
88;2024-01-01 01:50:30;CREATED;AZALEIA;ST046;46009;W46009;N
89;2024-01-01 01:50:30;CREATED;AZALEIA;ST046;46050;W46050;N
90;2024-01-01 01:50:30;CREATED;AZALEIA;ST046;46051;W46051;N
91;2024-01-01 01:50:30;CREATED;AZALEIA;ST048;48001;W48001;N
92;2024-01-01 01:50:30;CREATED;AZALEIA;ST048;48050;W48050;N
93;2024-01-01 01:50:30;CREATED;AZALEIA;ST048;48051;W48051;N
94;2024-01-01 01:50:30;CREATED;AZALEIA;ST050;50001;W50001;N
95;2024-01-01 01:50:30;CREATED;AZALEIA;ST050;50009;W50009;N
96;2024-01-01 01:50:30;CREATED;AZALEIA;ST050;50050;W50050;N
97;2024-01-01 01:50:30;CREATED;AZALEIA;ST050;50051;W50051;N
98;2024-01-01 01:50:30;CREATED;AZALEIA;ST054;54001;W54001;N
99;2024-01-01 01:50:30;CREATED;AZALEIA;ST054;54050;W54050;N
100;2024-01-01 01:50:30;CREATED;AZALEIA;ST054;54051;W54051;N
101;2024-01-01 01:50:30;CREATED;AZALEIA;ST056;56001;W56001;N
102;2024-01-01 01:50:30;CREATED;AZALEIA;ST056;56050;W56050;N
103;2024-01-01 01:50:30;CREATED;AZALEIA;ST056;56051;W56051;N
104;2024-01-01 01:50:30;CREATED;AZALEIA;ST057;57001;W57001;N
105;2024-01-01 01:50:30;CREATED;AZALEIA;ST057;57050;W57050;N
106;2024-01-01 01:50:30;CREATED;AZALEIA;ST057;57051;W57051;N
107;2024-01-01 01:50:30;CREATED;AZALEIA;ST059;59001;W59001;N
